,p1,p2,rg,se,z,p,significant
E4_DIABETES,GD,Diabetes mellitus,1.107069,0.193941,5.708277259578945,1.1412540396680002e-08,*
E4_DIABETES,HP,Diabetes mellitus,0.400351,0.061134,6.548745379003501,5.8022459900102013e-11,*
E4_DIABETES,EV,Diabetes mellitus,0.485316,0.332880,1.4579307858687816,0.14485962189956897,
E4_DIABETES,GH,Diabetes mellitus,0.283170,0.060705,4.664689893748455,3.0908279391060552e-06,*
E4_OBESITY,GD,Obesity,0.680994,0.187512,3.6317355689235886,0.00028152151156042387,
E4_OBESITY,HP,Obesity,0.486721,0.080107,6.0758860024716945,1.2330498643425692e-09,*
E4_OBESITY,EV,Obesity,0.102206,0.221662,0.4610894063935181,0.6447344617966346,
E4_OBESITY,GH,Obesity,0.420117,0.079544,5.281567434375943,1.2808332144620433e-07,*
FG_DOAAC,GD,"Diseases of arteries, arterioles and capillaries (FINNGEN)",0.446735,0.126326,3.5363662270633127,0.00040567189480782313,
FG_DOAAC,HP,"Diseases of arteries, arterioles and capillaries (FINNGEN)",0.511234,0.090958,5.620550144022515,1.9035033143820836e-08,*
FG_DOAAC,EV,"Diseases of arteries, arterioles and capillaries (FINNGEN)",0.469484,0.336747,1.394174261389114,0.16326498836415793,
FG_DOAAC,GH,"Diseases of arteries, arterioles and capillaries (FINNGEN)",0.339838,0.087252,3.894902122587448,9.823839035645642e-05,
FG_OTHHEART,GD,FG_OTHHEART: Other heart diseases,0.313117,0.139646,2.2422196124486202,0.02494718220116948,
FG_OTHHEART,HP,FG_OTHHEART: Other heart diseases,0.698008,0.090258,7.733475149017261,1.0464980643349246e-14,*
FG_OTHHEART,EV,FG_OTHHEART: Other heart diseases,0.699294,0.419332,1.667638052903189,0.09538759948757505,
FG_OTHHEART,GH,FG_OTHHEART: Other heart diseases,0.526202,0.086208,6.103865070527096,1.0353369870970118e-09,*
G6_NERPLEX,GD,"Nerve, nerve root and plexus disorders",0.845052,0.152787,5.530915588368121,3.1856360500485146e-08,*
G6_NERPLEX,HP,"Nerve, nerve root and plexus disorders",0.456477,0.094621,4.824267340231027,1.4051883646606893e-06,*
G6_NERPLEX,EV,"Nerve, nerve root and plexus disorders",0.968215,0.534185,1.8125087750498423,0.0699076192974408,
G6_NERPLEX,GH,"Nerve, nerve root and plexus disorders",0.296448,0.097329,3.0458342323459604,0.0023203572386767137,
H8_EAR,GD,Diseases of the ear and mastoid process,0.640645,0.124117,5.161621695658129,2.448196549494013e-07,*
H8_EAR,HP,Diseases of the ear and mastoid process,-0.026259,0.193959,-0.13538428224521679,0.8923080506673862,
H8_EAR,EV,Diseases of the ear and mastoid process,0.359652,0.398261,0.9030560361170189,0.36649615546146375,
H8_EAR,GH,Diseases of the ear and mastoid process,-0.009784,0.205041,-0.04771728581113045,0.961941557709882,
I9_CABG,GD,Coronary artery bypass grafting,0.262648,0.113495,2.314181241464382,0.02065778249650761,
I9_CABG,HP,Coronary artery bypass grafting,0.428000,0.103748,4.125380730230944,3.70121954599993e-05,*
I9_CABG,EV,Coronary artery bypass grafting,-0.102470,0.244646,-0.41885009360463693,0.675325692162561,
I9_CABG,GH,Coronary artery bypass grafting,0.354060,0.111134,3.185883707956161,0.0014431259306633482,
I9_CHD,GD,Major coronary heart disease event,0.333001,0.124491,2.6749001935882912,0.007475150030096481,
I9_CHD,HP,Major coronary heart disease event,0.445768,0.105416,4.228655991500341,2.350914896664284e-05,*
I9_CHD,EV,Major coronary heart disease event,0.257169,0.265816,0.9674699792337557,0.33330914176670046,
I9_CHD,GH,Major coronary heart disease event,0.364863,0.110804,3.29286848850222,0.0009917084982683088,
I9_CVD,GD,Cardiovascular diseases,0.417181,0.116164,3.5913105609310976,0.00032901928933915886,
I9_CVD,HP,Cardiovascular diseases,0.839994,0.088949,9.443546301813399,3.6037164426180196e-21,*
I9_CVD,EV,Cardiovascular diseases,0.696115,0.404316,1.7217102464409026,0.0851220202645469,
I9_CVD,GH,Cardiovascular diseases,0.665797,0.090208,7.380686857041504,1.574749933483041e-13,*
I9_HEARTFAIL_ALLCAUSE,GD,All-cause Heart Failure,0.605662,0.137119,4.417053799983956,1.0005533293548063e-05,*
I9_HEARTFAIL_ALLCAUSE,HP,All-cause Heart Failure,0.599998,0.122838,4.884465719077158,1.0370968356515772e-06,*
I9_HEARTFAIL_ALLCAUSE,EV,All-cause Heart Failure,0.495116,0.394545,1.254903749889113,0.20951370256421586,
I9_HEARTFAIL_ALLCAUSE,GH,All-cause Heart Failure,0.353474,0.132894,2.6598191039475068,0.00781826299686998,
I9_HEARTFAIL_AND_ANTIHYPERT,GD,Heart failure and antihypertensive medication,0.467750,0.093702,4.991889180593797,5.979155984575168e-07,*
I9_HEARTFAIL_AND_ANTIHYPERT,HP,Heart failure and antihypertensive medication,0.759363,0.080126,9.477111050096099,2.6142031925081964e-21,*
I9_HEARTFAIL_AND_ANTIHYPERT,EV,Heart failure and antihypertensive medication,0.655212,0.379519,1.7264273988917551,0.08427055012993036,
I9_HEARTFAIL_AND_ANTIHYPERT,GH,Heart failure and antihypertensive medication,0.567875,0.073648,7.710664240712578,1.2516456010913571e-14,*
I9_HEARTFAIL_NS,GD,"Heart failure, not strict",0.620912,0.135800,4.572253313696613,4.825071196613789e-06,*
I9_HEARTFAIL_NS,HP,"Heart failure, not strict",0.630945,0.123289,5.117609843538353,3.094318581496065e-07,*
I9_HEARTFAIL_NS,EV,"Heart failure, not strict",0.520712,0.401810,1.2959159801896418,0.1950044330811943,
I9_HEARTFAIL_NS,GH,"Heart failure, not strict",0.398509,0.132216,3.014075452290192,0.0025776369163178557,
I9_HYPERTENSION,GD,Hypertensive diseases,0.458859,0.086918,5.279217193216596,1.297369497446188e-07,*
I9_HYPERTENSION,HP,Hypertensive diseases,0.845437,0.066439,12.725010912265386,4.294148186512204e-37,*
I9_HYPERTENSION,EV,Hypertensive diseases,0.498822,0.296084,1.6847313600194538,0.09204041318798918,
I9_HYPERTENSION,GH,Hypertensive diseases,0.726922,0.066799,10.882228775879879,1.4009498426849131e-27,*
I9_HYPTENSESS,GD,"Hypertension, essential",0.500364,0.090885,5.505462947681136,3.6819939794598404e-08,*
I9_HYPTENSESS,HP,"Hypertension, essential",0.812153,0.068725,11.817431793379411,3.1723480417814287e-32,*
I9_HYPTENSESS,EV,"Hypertension, essential",0.514303,0.308150,1.6690021093623235,0.09511696177597405,
I9_HYPTENSESS,GH,"Hypertension, essential",0.701975,0.068630,10.228398659478364,1.4794541494952107e-24,*
I9_HYPTENSHD,GD,Hypertensive Heart Disease,0.398888,0.131850,3.0253166477057265,0.002483729464067042,
I9_HYPTENSHD,HP,Hypertensive Heart Disease,0.864008,0.136233,6.342134431451998,2.2660344440179328e-10,*
I9_HYPTENSHD,EV,Hypertensive Heart Disease,0.642356,0.447827,1.4343842599932566,0.15146263685705913,
I9_HYPTENSHD,GH,Hypertensive Heart Disease,0.682505,0.152750,4.468117839607202,7.891083475891428e-06,*
I9_HYPTENSHR,GD,Hypertensive heart and/or renal disease,0.394352,0.133696,2.9496170416467207,0.0031816803549744375,
I9_HYPTENSHR,HP,Hypertensive heart and/or renal disease,0.875995,0.138029,6.34645617949851,2.203312672411489e-10,*
I9_HYPTENSHR,EV,Hypertensive heart and/or renal disease,0.490835,0.420318,1.167770592741686,0.24289931307776813,
I9_HYPTENSHR,GH,Hypertensive heart and/or renal disease,0.676500,0.147496,4.586565059391441,4.505980311987789e-06,*
I9_HYPTENSPREG,GD,"Hypertension complicating pregnancy, childbirth, and the puerperium",0.339312,0.121080,2.802378592666006,0.005072730541275996,
I9_HYPTENSPREG,HP,"Hypertension complicating pregnancy, childbirth, and the puerperium",1.000058,0.000052,19231.884615384613,0.0,*
I9_HYPTENSPREG,EV,"Hypertension complicating pregnancy, childbirth, and the puerperium",0.127947,0.309521,0.41337098290584484,0.6793348308600986,
I9_HYPTENSPREG,GH,"Hypertension complicating pregnancy, childbirth, and the puerperium",1.018880,0.032024,31.81613789657757,3.8722079299213683e-222,*
