,p1,p2,rg,se,z,p,significant
G6_NERPLEX,GD,"Nerve, nerve root and plexus disorders",0.845052,0.152787,5.530915588368121,3.1856360500485146e-08,*
G6_NERPLEX,HP,"Nerve, nerve root and plexus disorders",0.456477,0.094621,4.824267340231027,1.4051883646606893e-06,*
G6_NERPLEX,EV,"Nerve, nerve root and plexus disorders",0.968215,0.534185,1.8125087750498423,0.0699076192974408,
G6_NERPLEX,GH,"Nerve, nerve root and plexus disorders",0.296448,0.097329,3.0458342323459604,0.0023203572386767137,
H8_EAR,GD,Diseases of the ear and mastoid process,0.640645,0.124117,5.161621695658129,2.448196549494013e-07,*
H8_EAR,HP,Diseases of the ear and mastoid process,-0.026259,0.193959,-0.13538428224521679,0.8923080506673862,
H8_EAR,EV,Diseases of the ear and mastoid process,0.359652,0.398261,0.9030560361170189,0.36649615546146375,
H8_EAR,GH,Diseases of the ear and mastoid process,-0.009784,0.205041,-0.04771728581113045,0.961941557709882,
K11_GIDISEASES,GD,Gastrointestinal diseases,0.505864,0.123057,4.11081043743956,3.942727973080528e-05,*
K11_GIDISEASES,HP,Gastrointestinal diseases,0.108135,0.111938,0.9660258357304936,0.33403125327952854,
K11_GIDISEASES,EV,Gastrointestinal diseases,0.637483,0.391214,1.6294994555409572,0.10320733004590875,
K11_GIDISEASES,GH,Gastrointestinal diseases,0.020402,0.110098,0.18530763501607658,0.8529877498649305,
M13_POLYARTHROPATHIES,GD,Polyarthropathies,0.462742,0.103302,4.479506689125089,7.481574573272035e-06,*
M13_POLYARTHROPATHIES,HP,Polyarthropathies,0.286468,0.077966,3.6742682707847014,0.00023853201306673095,
M13_POLYARTHROPATHIES,EV,Polyarthropathies,0.729599,0.503032,1.4504027576774439,0.14694623854919026,
M13_POLYARTHROPATHIES,GH,Polyarthropathies,0.221995,0.089480,2.480945462673223,0.013103441981410459,
R18_DIZZI_GIDDI,GD,Dizziness and giddiness,0.563695,0.292768,1.9253982675702261,0.0541795521725459,
R18_DIZZI_GIDDI,HP,Dizziness and giddiness,0.609766,0.175700,3.47049516220831,0.0005194997011847266,
R18_DIZZI_GIDDI,EV,Dizziness and giddiness,0.873137,0.591743,1.4755341423557187,0.14006899612456322,
R18_DIZZI_GIDDI,GH,Dizziness and giddiness,0.687925,0.166724,4.126130611069792,3.689177990882033e-05,*
